lat_deg,radius_km,one_axis_s,two_axis_s,lost_s
38.0000,4.000,52.800,121.900,69.100
38.0000,5.000,43.100,121.900,78.800
38.0000,6.000,34.600,121.900,87.300
38.0000,8.000,20.600,121.900,101.300
38.0000,10.000,9.400,121.900,112.500
38.0000,12.000,0.000,121.900,121.900
38.0000,15.000,0.000,121.900,121.900
40.0000,0.500,122.100,122.100,0.000
40.0000,1.000,122.100,122.100,0.000
40.0000,2.000,108.000,122.100,14.100
40.0000,3.000,84.100,122.100,38.000
40.0000,4.000,65.800,122.100,56.300
40.0000,5.000,51.700,122.100,70.400
40.0000,6.000,40.400,122.100,81.700
40.0000,8.000,23.300,122.100,98.800
40.0000,10.000,10.400,122.100,111.700
40.0000,12.000,0.000,122.100,122.100
40.0000,15.000,0.000,122.100,122.100
42.0000,0.500,122.400,122.400,0.000
42.0000,1.000,122.400,122.400,0.000
42.0000,2.000,122.400,122.400,0.000
42.0000,3.000,122.400,122.400,0.000
42.0000,4.000,109.700,122.400,12.700
42.0000,5.000,71.800,122.400,50.600
42.0000,6.000,51.400,122.400,71.000
42.0000,8.000,27.300,122.400,95.100
42.0000,10.000,11.800,122.400,110.600
42.0000,12.000,0.100,122.400,122.300
42.0000,15.000,0.000,122.400,122.400
44.0000,0.500,122.700,122.700,0.000
44.0000,1.000,122.700,122.700,0.000
44.0000,2.000,122.700,122.700,0.000
44.0000,3.000,122.700,122.700,0.000
44.0000,4.000,122.700,122.700,0.000
44.0000,5.000,122.700,122.700,0.000
44.0000,6.000,122.700,122.700,0.000
44.0000,8.000,34.800,122.700,87.900
44.0000,10.000,13.900,122.700,108.800
44.0000,12.000,0.200,122.700,122.500
44.0000,15.000,0.000,122.700,122.700
46.0000,0.500,122.900,122.900,0.000
46.0000,1.000,122.900,122.900,0.000
46.0000,2.000,122.900,122.900,0.000
46.0000,3.000,122.900,122.900,0.000
46.0000,4.000,122.900,122.900,0.000
46.0000,5.000,122.900,122.900,0.000
46.0000,6.000,122.900,122.900,0.000
46.0000,8.000,122.900,122.900,0.000
46.0000,10.000,17.600,122.900,105.300
46.0000,12.000,0.400,122.900,122.500
46.0000,15.000,0.000,122.900,122.900
48.0000,0.500,123.200,123.200,0.000
48.0000,1.000,123.200,123.200,0.000
48.0000,2.000,123.200,123.200,0.000
48.0000,3.000,123.200,123.200,0.000
48.0000,4.000,123.200,123.200,0.000
48.0000,5.000,123.200,123.200,0.000
48.0000,6.000,123.200,123.200,0.000
48.0000,8.000,123.200,123.200,0.000
48.0000,10.000,91.700,123.200,31.500
48.0000,12.000,16.000,123.200,107.200
48.0000,15.000,0.000,123.200,123.200
50.0000,0.500,123.400,123.400,0.000
50.0000,1.000,123.400,123.400,0.000
50.0000,2.000,123.400,123.400,0.000
50.0000,3.000,123.400,123.400,0.000
50.0000,4.000,123.400,123.400,0.000
50.0000,5.000,123.400,123.400,0.000
50.0000,6.000,123.400,123.400,0.000
50.0000,8.000,123.400,123.400,0.000
50.0000,10.000,123.400,123.400,0.000
50.0000,12.000,69.900,123.400,53.500
50.0000,15.000,28.300,123.400,95.100
51.6312,0.500,123.700,123.700,0.000
51.6312,1.000,123.700,123.700,0.000
51.6312,2.000,123.700,123.700,0.000
51.6312,3.000,123.700,123.700,0.000
51.6312,4.000,123.700,123.700,0.000
51.6312,5.000,123.700,123.700,0.000
51.6312,6.000,123.700,123.700,0.000
51.6312,8.000,123.700,123.700,0.000
51.6312,10.000,123.700,123.700,0.000
51.6312,12.000,123.700,123.700,0.000
51.6312,15.000,79.000,123.700,44.700
