lat_lo,lat_hi,lat_mid,area_km2,n_stacks,emissions_t,r_km,one_axis_s,two_axis_s,reacq1_s,reacq2_s,cycle1_s,cycle2_s
48.0,50.0,49.0,4698.2688,490.0000,245010516.7854,4.077,123.300,123.300,216.050,39.315,339.350,162.615
50.0,52.0,51.0,11309.4456,689.0000,508324318.4144,5.669,123.584,123.584,220.536,40.026,344.120,163.610
52.0,54.0,53.0,6291.0074,513.0000,367767808.6803,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54.0,56.0,55.0,2772.2001,260.0000,250245370.4104,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56.0,58.0,57.0,1490.9369,174.0000,173301187.7801,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58.0,60.0,59.0,1064.5465,127.0000,94715268.7460,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60.0,62.0,61.0,1131.7450,128.0000,60156906.2335,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62.0,64.0,63.0,300.1730,63.0000,14464163.4715,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64.0,66.0,65.0,444.6183,44.0000,22083842.0253,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66.0,68.0,67.0,14.1803,18.0000,5684665.4273,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68.0,70.0,69.0,8.2339,8.0000,7316732.6858,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70.0,72.0,71.0,5.8867,6.0000,1266574.8163,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72.0,74.0,73.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74.0,76.0,75.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76.0,78.0,77.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78.0,80.0,79.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80.0,82.0,81.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.0,84.0,83.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
84.0,86.0,85.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
86.0,88.0,87.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
88.0,90.0,89.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
