lat,lon,n,r_plant_km,r_cover_km,area_km2,emissions_t,capacity,subsector
-27.73780,153.32610,1,0.000,2.000,0.5027,0.0000,30.0000,electricity-generation
-26.57720,148.84020,1,0.000,2.000,0.5027,32851.0000,97.7700,electricity-generation
-23.70910,133.89120,1,0.000,2.000,0.5027,95162.0000,57.0700,electricity-generation
-21.07650,116.15930,1,0.000,2.000,0.5027,481930.0000,500.0000,electricity-generation
-33.85000,150.94950,1,0.000,2.000,0.5027,20313.9000,160.0000,electricity-generation
-37.66460,140.41560,1,0.000,2.000,0.5027,99353.0000,63.0000,electricity-generation
-22.14700,117.95700,1,0.000,2.000,0.5027,213130.0000,135.6000,electricity-generation
-37.63180,144.95310,1,0.000,2.000,0.5027,73370.0000,150.0000,electricity-generation
-34.74400,138.65300,1,0.000,2.000,0.5027,0.0000,0.0000,electricity-generation
-23.51020,150.32000,1,0.000,2.000,0.5027,8024000.0000,1460.0000,electricity-generation
-29.09270,122.43930,1,0.000,2.000,0.5027,50875.0000,36.3500,electricity-generation
-27.65540,152.81800,1,0.000,2.000,0.5027,225290.0000,422.0000,electricity-generation
-25.54820,152.71690,1,0.000,2.000,0.5027,0.0000,24.0000,electricity-generation
-34.52250,150.80600,1,0.000,2.000,0.5027,309297.0000,796.0000,electricity-generation
-41.13197,146.88413,2,1.838,3.838,10.6179,687210.3767,16484.8493,electricity-generation
-26.78041,151.91498,2,0.483,2.483,0.7336,10234057.0000,1860.0000,electricity-generation
-21.74190,122.18240,1,0.000,2.000,0.5027,161880.0000,147.0000,electricity-generation
-19.65490,134.17530,1,0.000,2.000,0.5027,39507.0000,26.7900,electricity-generation
-19.20110,146.61870,1,0.000,2.000,0.5027,78418.4000,229.0000,electricity-generation
-17.93720,145.92730,1,0.000,2.000,0.5027,0.0000,21.4000,electricity-generation
-35.17950,147.21590,1,0.000,2.000,0.5027,353820.0000,664.0000,electricity-generation
-18.65080,146.20160,1,0.000,2.000,0.5027,0.0000,11.8000,electricity-generation
-32.91659,115.91565,2,0.283,2.283,0.5027,4210164.6472,238287.2192,electricity-generation
-19.44340,133.82360,1,0.000,2.000,0.5027,0.0000,0.0000,electricity-generation
-23.15460,118.72450,1,0.000,2.000,0.5027,112315.0000,90.0000,electricity-generation
-30.78060,121.42340,1,0.000,2.000,0.5027,11025.3000,61.4000,electricity-generation
-30.36340,149.67720,1,0.000,2.000,0.5027,152350.0000,25.0000,electricity-generation
-26.63160,120.25190,1,0.000,2.000,0.5027,27603.0000,17.0000,electricity-generation
-28.29330,118.53710,1,0.000,2.000,0.5027,20782.0000,12.8000,electricity-generation
-33.23876,116.07000,2,0.346,2.346,0.5027,6790907.1460,373966.6301,electricity-generation
-38.17730,146.34420,1,0.000,2.000,0.5027,9113100.0000,1480.0000,electricity-generation
-25.23230,130.99120,1,0.000,2.000,0.5027,18563.0000,11.4300,electricity-generation
-20.76360,116.74270,1,0.000,2.000,0.5027,318140.0000,230.0000,electricity-generation
47.41810,15.27890,1,0.000,2.000,0.5027,0.0000,50.0000,electricity-generation
48.16118,16.47940,6,4.478,6.478,63.0098,6056311.5745,248275.3324,electricity-generation
48.32610,15.92330,1,0.000,2.000,0.5027,0.0000,0.0000,electricity-generation
48.25510,15.68990,1,0.000,2.000,0.5027,0.0000,10.0000,electricity-generation
46.86230,14.86690,1,0.000,2.000,0.5027,0.0000,33.0000,electricity-generation
46.72970,14.38340,1,0.000,2.000,0.5027,0.0000,10.0000,electricity-generation
47.13510,15.33540,1,0.000,2.000,0.5027,85723.0000,194.7500,electricity-generation
47.04840,15.43670,1,0.000,2.000,0.5027,500940.0000,280.0000,electricity-generation
48.33170,16.33930,1,0.000,2.000,0.5027,125306.0000,149.7000,electricity-generation
48.39603,15.70335,2,5.145,7.145,83.1503,564040.0000,668.3500,electricity-generation
47.95855,13.79732,5,4.253,6.253,56.8222,678243.2015,125349.3361,electricity-generation
48.00093,13.59903,2,3.095,5.095,30.0959,305207.7000,521.8500,electricity-generation
48.27660,16.43373,2,7.216,9.216,163.5842,5569.0000,164.8000,electricity-generation
48.28095,14.33163,5,2.130,4.130,14.2495,12008212.3125,637753.3014,electricity-generation
46.90920,15.48970,1,0.000,2.000,0.5027,764702.0000,1084.0000,electricity-generation
48.18300,14.25510,1,0.000,2.000,0.5027,0.0000,28.0000,electricity-generation
48.03180,12.84310,1,0.000,2.000,0.5027,0.0000,0.0000,electricity-generation
47.80930,13.03820,1,0.000,2.000,0.5027,70304.0000,85.0600,electricity-generation
48.15172,14.00756,2,5.459,7.459,93.6132,34628.0000,74.0000,electricity-generation
48.54860,16.78370,1,0.000,2.000,0.5027,0.0000,15.0000,electricity-generation
38.48690,48.82750,1,0.000,2.000,0.5027,266710.0000,87.0000,electricity-generation
40.78100,46.99090,1,0.000,2.000,0.5027,8137700.0000,2400.0000,electricity-generation
40.40100,49.91224,6,6.931,8.931,150.9127,2326155.9609,259344.2904,electricity-generation
40.41400,49.66840,1,0.000,2.000,0.5027,1180240.0000,385.0000,electricity-generation
39.89390,48.91850,1,0.000,2.000,0.5027,1003260.0000,780.0000,electricity-generation
41.43200,48.81240,1,0.000,2.000,0.5027,266710.0000,87.0000,electricity-generation
39.15910,45.48660,1,0.000,2.000,0.5027,266710.0000,87.0000,electricity-generation
40.20565,49.46215,2,4.525,6.525,64.3377,1574523.5732,178663.9644,electricity-generation
41.40770,48.47480,1,0.000,2.000,0.5027,320040.0000,104.4000,electricity-generation
41.06250,47.14240,1,0.000,2.000,0.5027,266710.0000,87.0000,electricity-generation
40.49960,50.20910,1,0.000,2.000,0.5027,1283180.0000,800.0000,electricity-generation
40.60411,49.63105,2,0.621,2.621,1.2114,900905.4134,18168.8356,electricity-generation
50.93550,4.04520,1,0.000,2.000,0.5027,66645.0000,48.0000,electricity-generation
